사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-01,2호선,14,을지로4가,5,0,847,983,"1,115","10,536","2,485","25,329","4,406","63,837","5,198","38,119","6,803","21,753","9,710","17,836","12,515","15,903","13,552","15,534","17,509","15,692","19,990","12,765","24,140","10,015","42,010","8,517","58,605","6,581","26,975","3,987","14,604","2,146","12,474","2,816","4,176","1,128","1,164",562,0,43,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,15,동대문역사문화공원(DDP),345,3,"6,154",770,"3,699","5,698","5,189","13,837","7,526","37,533","7,598","24,028","6,887","18,541","9,002","18,850","11,153","16,274","11,999","18,030","14,833","17,873","17,648","15,567","21,626","13,337","28,326","13,273","32,479","14,756","20,046","17,449","17,718","10,229","15,197","9,159","6,025","4,741","2,249","3,634",1,185,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,16,신당,36,0,"4,921",924,"8,887","6,434","20,250","12,748","34,119","28,184","20,480","19,881","13,876","14,840","13,543","14,996","15,468","16,163","16,793","16,849","17,807","17,865","19,267","18,757","20,483","20,496","24,557","24,699","27,929","36,132","16,908","24,661","14,257","15,380","12,441","19,285","5,003","8,111","1,529","3,789",2,50,0,0,0,0,0,0,2021-02-03 09:49:39
2021-01,2호선,17,상왕십리,46,2,"4,600",339,"10,226","4,503","29,794","9,515","47,721","28,928","25,664","16,250","15,686","10,908","14,109","10,200","14,765","11,218","15,139","12,077","14,654","12,594","14,873","14,358","15,447","17,312","19,573","25,367","23,646","41,112","13,297","28,865","9,829","18,480","9,608","23,122","3,926","9,160","1,139","4,306",0,32,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,18,왕십리(성동구청),700,1,"5,109",591,"7,535","4,398","19,635","8,414","35,930","22,413","21,705","14,980","13,751","11,144","13,866","11,199","15,494","13,491","17,102","14,385","17,021","14,785","18,200","16,692","20,059","18,833","26,229","24,752","29,287","38,899","17,909","23,291","21,614","14,068","24,635","18,466","7,332","7,594","2,731","3,911",7,81,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,19,한양대,1,0,666,194,"1,788","5,062","3,863","7,490","6,573","18,090","4,288","27,298","3,766","12,410","4,501","7,439","5,259","8,115","5,542","8,905","6,560","8,083","7,454","5,753","13,694","5,182","21,768","5,354","21,008","6,705","9,646","4,367","7,136","3,406","7,797","4,528","5,121","1,861","1,938",969,0,12,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,20,뚝섬,10,0,"2,833","1,895","6,441","10,928","14,571","28,378","21,655","113,554","13,285","69,541","10,460","26,549","10,687","17,041","13,139","17,703","16,053","19,736","17,961","18,392","20,378","18,090","25,542","18,553","45,036","21,724","100,514","29,088","48,622","18,587","29,624","11,345","27,154","12,854","8,235","5,566","1,886","3,022",1,50,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,21,성수,14,1,"4,179","2,805","8,025","21,518","18,452","63,728","25,980","229,101","18,388","117,674","15,317","38,446","17,076","26,745","19,045","27,754","23,383","29,454","26,558","28,812","30,550","28,538","39,869","28,954","85,623","31,392","187,090","38,168","83,822","24,284","51,293","12,940","49,326","15,487","13,370","6,990","3,069","4,142",3,857,0,1,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,22,건대입구,99,2,"10,196","1,647","15,521","14,964","41,543","22,036","73,021","51,470","48,020","39,280","26,759","29,168","25,530","31,157","29,378","38,195","32,171","43,861","34,681","46,822","37,936","52,087","43,920","60,841","53,211","77,361","67,571","106,890","49,289","66,800","67,062","38,480","73,464","48,501","16,354","21,459","4,654","9,211",6,990,0,0,0,0,0,0,2021-02-03 09:49:40
2021-01,2호선,23,구의(광진구청),29,0,"11,039",883,"20,895","8,077","52,867","11,707","91,632","33,680","52,706","19,589","26,482","15,682","22,104","15,981","23,003","18,353","23,505","20,906","22,616","22,330","22,220","28,143","24,029","32,018","28,910","44,994","35,171","78,224","17,431","57,568","16,225","37,725","16,875","45,171","7,683","19,710","3,025","7,599",5,554,0,0,0,0,0,0,2021-02-03 09:49:40
